kunci,nilai
nama,Sadomas
kecamatan,Rajagaluh
kabupaten,Majalengka
tagline,Portal UMKM Desa
sapaan,Selamat datang di Sadomas
judulHero,"Karya warga Sadomas, dari dapur dan kebun sendiri"
paragrafHero,"Gabin tape, opak, keripik melinjo, sampai bibit palawija dan buah musiman dari kaki Gunung Ciremai. Semua dijual langsung oleh warga Desa Sadomas, Kecamatan Rajagaluh, Kabupaten Majalengka. Pilih produknya, lalu pesan lewat WhatsApp ke pemiliknya."
alamat,"Jl. Syeh Maulana Mangsur No. 01, Desa Sadomas, Rajagaluh, Majalengka"
waDesa,GANTI_NOMOR_WA_DESA
email,kkmsadomas@gmail.com
maps,
instagram,
facebook,
fotoHero,
fotoProfil,
judulProfil,Desa bertani di kaki Gunung Ciremai
paragrafProfil,"Desa Sadomas berada di Kecamatan Rajagaluh, Kabupaten Majalengka. Sebagian besar warganya bertani: padi, bibit palawija, picung, durian, dan mangga. Sebagian lagi menjalankan usaha rumahan seperti gabin tape, opak, dan keripik melinjo. Katalog ini dibuat agar produk warga bisa ditemukan tanpa perantara, dan pembeli dari luar desa bisa langsung menghubungi pemiliknya."
deskripsiKaki,"Katalog resmi produk UMKM Desa Sadomas. Dikelola Pemerintah Desa bersama Karang Taruna, disusun dalam program KKM UMC 2026."
ajakan.judul,Punya usaha di Desa Sadomas?
ajakan.teks,Warga Desa Sadomas yang punya usaha rumahan bisa didaftarkan ke katalog ini tanpa biaya. Hubungi sekretariat desa atau pengurus Karang Taruna untuk pendataan.
jiwa,1.863
wilayah,5 RW / 7 RT
catatanAngka,"Data monografi desa, perlu diperbarui bila ada pendataan baru."
