slug,nama,umkm,kategori,harga,satuan,foto,penilaian,galeri1,galeri2,galeri3,galeri4,unggulan,deskripsi,rincian1_label,rincian1_isi,rincian2_label,rincian2_isi,rincian3_label,rincian3_isi,rincian4_label,rincian4_isi,rincian5_label,rincian5_isi,rincian6_label,rincian6_isi
gabin-tape-original,Gabin Tape Original,gabin-tape-wizura,kuliner,Rp15.000 – Rp18.000,per kotak isi 10 buah,,0,,,,,TRUE,"Rasa asli tanpa tambahan perisa. Tape terasa manis asam, gabinnya renyah. Paling awet dimakan dalam tiga hari setelah digoreng.",Bahan utama,Tape singkong dan biskuit gabin,Isi kemasan,10 buah per kotak,Daya tahan,3 hari suhu ruang,Minimal pesan,1 kotak,,,,
gabin-tape-ubi-ungu,Gabin Tape Ubi Ungu,gabin-tape-wizura,kuliner,Rp18.000 – Rp22.000,per kotak isi 10 buah,,0,,,,,TRUE,"Varian baru dengan campuran ubi ungu. Warnanya ungu alami dari ubi, rasanya lebih lembut dan tidak seasam varian original.",Bahan utama,"Tape singkong, ubi ungu, gabin",Isi kemasan,10 buah per kotak,Daya tahan,3 hari suhu ruang,Minimal pesan,1 kotak,,,,
gabin-tape-cokelat,Gabin Tape Cokelat,gabin-tape-wizura,kuliner,Rp18.000 – Rp22.000,per kotak isi 10 buah,,0,,,,,TRUE,Lelehan cokelat di dalam tape. Varian paling disukai anak-anak dan pembeli yang belum terbiasa dengan rasa tape.,Bahan utama,"Tape singkong, cokelat, gabin",Isi kemasan,10 buah per kotak,Daya tahan,3 hari suhu ruang,Minimal pesan,1 kotak,,,,
opak-mentah,Opak Beras Ketan Mentah,opak-merah-sadomas,kuliner,Rp10.000 – Rp13.000,per ikat isi 20 lembar,,0,,,,,FALSE,"Opak yang sudah dijemur kering, tinggal dibakar atau digoreng di rumah. Tahan lama selama disimpan di tempat kering.",Bahan utama,Beras ketan dan kelapa,Isi,20 lembar per ikat,Daya tahan,1 bulan di wadah tertutup,Minimal pesan,2 ikat,,,,
opak-bakar-siap-makan,Opak Bakar Siap Makan,opak-merah-sadomas,kuliner,Rp15.000 – Rp18.000,per bungkus 250 gram,,0,,,,,FALSE,Sudah dibakar di atas bara sampai mengembang. Dibungkus plastik tebal supaya tidak melempem saat dibawa jauh.,Bahan utama,Beras ketan dan kelapa,Berat,250 gram per bungkus,Daya tahan,2 minggu,Minimal pesan,1 bungkus,,,,
emping-melinjo-mentah,Emping Melinjo Mentah,keripik-melinjo,kuliner,Rp45.000 – Rp55.000,per kilogram,,0,,,,,TRUE,"Emping tipis hasil tumbukan tangan. Belum digoreng, jadi bisa disimpan lama dan digoreng saat dibutuhkan.",Bahan utama,Buah melinjo tua,Berat,1 kilogram,Daya tahan,3 bulan di wadah kedap,Minimal pesan,1 kilogram,,,,
keripik-melinjo-pedas,Keripik Melinjo Pedas,keripik-melinjo,kuliner,Rp12.000 – Rp15.000,per bungkus 100 gram,,0,,,,,FALSE,Sudah digoreng dan dibumbui cabai kering. Tingkat pedasnya bisa diminta sedang atau pedas saat memesan.,Bahan utama,"Melinjo, cabai kering, garam",Berat,100 gram per bungkus,Daya tahan,1 bulan,Minimal pesan,3 bungkus,,,,
bibit-jagung,Bibit Jagung Siap Tanam,bibit-palawija,pertanian,Rp25.000 – Rp35.000,per tray isi 50 lubang,,0,,,,,FALSE,"Bibit umur dua minggu, sudah berdaun tiga sampai empat helai. Siap dipindah ke lahan. Pemesanan sebaiknya seminggu sebelum tanam.",Umur bibit,14 hari,Isi,50 lubang per tray,Pesan minimal,2 tray,Catatan,Perlu dipesan seminggu sebelumnya,,,,
bibit-sayuran,Bibit Sayuran Pekarangan,bibit-palawija,pertanian,Rp2.000 – Rp3.000,per polibag,,0,,,,,FALSE,"Cabai, terong, dan tomat dalam polibag kecil untuk ditanam di pekarangan rumah. Cocok untuk program pekarangan pangan warga.",Jenis,"Cabai, terong, tomat",Wadah,Polibag 10 cm,Pesan minimal,10 polibag,Catatan,Jenis menyesuaikan ketersediaan,,,,
mangga-musiman,Mangga Kebun Warga,buah-musiman-sadomas,pertanian,Rp15.000 – Rp25.000,per kilogram,,0,,,,,FALSE,"Mangga hasil kebun warga, dipetik saat pesanan masuk. Ketersediaan mengikuti musim panen, biasanya pertengahan sampai akhir tahun.",Musim panen,Menyesuaikan tahun berjalan,Berat,Per kilogram,Pesan minimal,3 kilogram,Catatan,Tanyakan ketersediaan dulu,,,,
durian-lokal,Durian Lokal Sadomas,buah-musiman-sadomas,pertanian,GANTI: kisaran harga,per buah,,0,,,,,FALSE,Durian kebun warga yang jatuh matang pohon. Jumlahnya terbatas dan hanya ada pada musim tertentu.,Musim panen,GANTI: bulan panen,Ukuran,GANTI: kisaran berat,Pesan minimal,1 buah,Catatan,Tanyakan ketersediaan dulu,,,,
donat-gula-sadomas,Donat Gula,donat-dan-brownies,kuliner,GANTI: kisaran harga,per boks isi 6 buah,,0,,,,,FALSE,"Donat empuk dengan taburan gula halus, digoreng dan dikemas segar setiap hari.",Bahan utama,"Tepung terigu, ragi, gula halus",Isi kemasan,6 buah per boks,Daya tahan,GANTI: berapa hari,Minimal pesan,1 boks,,,,
brownies-kukus-sadomas,Brownies Kukus,donat-dan-brownies,kuliner,GANTI: kisaran harga,per loyang,,0,,,,,FALSE,"Brownies kukus cokelat legit, dikukus tanpa oven sehingga teksturnya lembap dan padat.",Bahan utama,"Cokelat, tepung terigu, telur",Ukuran,1 loyang,Daya tahan,GANTI: berapa hari,Minimal pesan,1 loyang,,,,
kerupuk-kulit-sapi-mentah,Kerupuk Kulit Sapi Mentah,kerupuk-kulit-sapi-sadomas,kuliner,GANTI: kisaran harga,per kilogram,,0,,,,,FALSE,"Kerupuk kulit sapi yang sudah direbus dan dijemur kering, siap digoreng sendiri di rumah.",Bahan utama,Kulit sapi pilihan,Berat,1 kilogram,Daya tahan,GANTI: berapa lama,Minimal pesan,GANTI: jumlah minimal,,,,
kerupuk-kulit-sapi-goreng,Kerupuk Kulit Sapi Siap Makan,kerupuk-kulit-sapi-sadomas,kuliner,Rp2.000,per bungkus kecil,kerupuk-kulit-1.jpg,0,kerupuk-kulit-3.jpg,,,,FALSE,"Sudah digoreng renyah dan dikemas rapat, tinggal buka dan santap. Merek 'RR Ratu', bersertifikat Halal dan terdaftar P-IRT 2013210010707-28.",Bahan utama,Kulit sapi pilihan,Merek,RR Ratu,Sertifikat,"Halal Indonesia, P-IRT 2013210010707-28",Minimal pesan,1 bungkus,,,,
sayur-campur-sadomas,Paket Sayur Campur,kebun-sayuran-sadomas,pertanian,GANTI: kisaran harga,per kilogram,,0,,,,,FALSE,"Campuran sayuran segar hasil kebun sendiri, dipanen sesuai pesanan agar tetap segar sampai ke pembeli.",Jenis,"Kol, sawi, cabai, tomat",Berat,Per kilogram,Pesan minimal,GANTI: jumlah minimal,Catatan,Jenis menyesuaikan hasil panen,,,,
cabai-rawit-sadomas,Cabai Rawit Segar,kebun-sayuran-sadomas,pertanian,GANTI: kisaran harga,per kilogram,,0,,,,,FALSE,"Cabai rawit hasil kebun warga, dipetik segar sesuai pesanan.",Jenis,Cabai rawit,Berat,Per kilogram,Pesan minimal,GANTI: jumlah minimal,Catatan,Harga mengikuti harga pasar saat panen,,,,
molen-bu-yeti,Molen,jajanan-pasar-bu-yeti,kuliner,Rp1.000,per buah,molen-bu-yeti.jpg,0,,,,,TRUE,"Molen pisang digoreng renyah, dijual lepas tanpa kemasan seperti gorengan pada umumnya. Digoreng dini hari, dititipkan ke warung untuk sarapan pagi.",Bahan utama,Pisang dan adonan tepung buatan sendiri,Kemasan,"Tanpa kemasan, dijual lepas",Minimal pesan,GANTI: jumlah minimal,,,,,,
pastel-bu-yeti,Pastel,jajanan-pasar-bu-yeti,kuliner,Rp1.000,per buah,pastel-bu-yeti.jpg,0,,,,,TRUE,"Pastel isi bihun jagung, digoreng renyah, dijual lepas tanpa kemasan seperti gorengan pada umumnya.",Isi,Bihun jagung,Kemasan,"Tanpa kemasan, dijual lepas",Minimal pesan,GANTI: jumlah minimal,,,,,,
onde-onde-bu-yeti,Onde-onde,jajanan-pasar-bu-yeti,kuliner,Rp1.000,per buah,,0,,,,,FALSE,"Onde-onde buatan rumahan. Tepung ketan sering sulit didapat, jadi tidak selalu dibuat setiap hari -- tanyakan dulu ketersediaannya lewat WhatsApp.",Catatan,"Tidak dibuat setiap hari, tergantung ketersediaan tepung ketan",Kemasan,"Tanpa kemasan, dijual lepas",Minimal pesan,GANTI: jumlah minimal,,,,,,
risol-sayur-bu-yeti,Risol Sayur,jajanan-pasar-bu-yeti,kuliner,GANTI: kisaran harga,per buah,risol-bu-yeti.jpg,0,,,,,FALSE,"Risol isi sayuran, dibalut tepung roti dan digoreng garing.",Isi,Sayuran,Kemasan,"Tanpa kemasan, dijual lepas",Minimal pesan,GANTI: jumlah minimal,,,,,,
bufet-tv-abu-meubel,Bufet / Backdrop TV Custom,abu-meubel,kerajinan,GANTI: kisaran harga,"per unit, tergantung ukuran & bahan",abu-meubel-1.jpg,0,,,,,FALSE,"Backdrop/bufet TV custom lengkap dengan rak, lampu LED, dan aksen panel sesuai desain dan ukuran ruangan pemesan.",Jenis pekerjaan,"Pesanan custom, bukan barang jadi",Bahan,GANTI: jenis kayu/material yang dipakai,Waktu pengerjaan,GANTI: perkiraan lama pengerjaan,,,,,,
kitchen-set-abu-meubel,Kitchen Set Custom,abu-meubel,kerajinan,GANTI: kisaran harga,"per meter lari, tergantung ukuran & bahan",abu-meubel-2.jpg,0,,,,,FALSE,"Kitchen set custom sesuai denah dapur pemesan, termasuk kabinet atas-bawah dan meja kerja.",Jenis pekerjaan,"Pesanan custom, bukan barang jadi",Bahan,GANTI: jenis material yang dipakai,Waktu pengerjaan,GANTI: perkiraan lama pengerjaan,,,,,,
pintu-kayu-abu-meubel,Pintu Kayu Jati Custom,abu-meubel,kerajinan,GANTI: kisaran harga,per daun pintu,abu-meubel-4.jpg,0,,,,,FALSE,"Pintu kayu jati solid, dibuat sesuai ukuran dan motif ukiran pesanan.",Bahan utama,Kayu jati,Ukuran,GANTI: menyesuaikan pesanan,Waktu pengerjaan,GANTI: perkiraan lama pengerjaan,,,,,,
lemari-abu-meubel,Lemari & Rak Custom,abu-meubel,kerajinan,GANTI: kisaran harga,"per unit, tergantung ukuran & bahan",abu-meubel-5.jpg,0,,,,,FALSE,"Lemari dan rak penyimpanan custom, disesuaikan dengan kebutuhan dan ukuran ruangan.",Jenis pekerjaan,"Pesanan custom, bukan barang jadi",Bahan,GANTI: jenis material yang dipakai,Waktu pengerjaan,GANTI: perkiraan lama pengerjaan,,,,,,
meja-kasir-abu-meubel,Meja & Bangku Kasir Toko,abu-meubel,kerajinan,GANTI: kisaran harga,"per unit, tergantung ukuran & bahan",abu-meubel-6.jpg,0,,,,,FALSE,"Meja dan bangku kasir dengan laci penyimpanan, cocok untuk toko atau warung.",Jenis pekerjaan,"Pesanan custom, bukan barang jadi",Bahan,GANTI: jenis material yang dipakai,Waktu pengerjaan,GANTI: perkiraan lama pengerjaan,,,,,,
