slug,nama,kategori,pemilik,berdiri,pekerja,wa,alamat,foto,penilaian,jamBuka,pengiriman,fotoLokasi,deskripsi
gabin-tape-wizura,Gabin Tape Wizura,kuliner,GANTI: nama pemilik,GANTI: tahun berdiri,GANTI: jumlah pekerja,GANTI_NOMOR_WA,GANTI: blok / RT / RW,,0,"GANTI: contoh Setiap hari, 08.00-17.00 WIB","GANTI: contoh Ambil di tempat, kirim dalam kota",,"Gabin tape khas Sadomas: tape singkong dibalut biskuit gabin lalu digoreng tipis sampai renyah. Diproduksi harian di dapur rumah, dijual dalam kemasan kotak untuk oleh-oleh maupun eceran."
opak-merah-sadomas,Opak Merah Sadomas,kuliner,GANTI: nama pemilik,GANTI: tahun berdiri,GANTI: jumlah pekerja,GANTI_NOMOR_WA,GANTI: blok / RT / RW,,0,"GANTI: contoh Setiap hari, 08.00-17.00 WIB","GANTI: contoh Ambil di tempat, kirim dalam kota",,"Opak beras ketan yang dijemur di halaman rumah dan dibakar di atas bara. Warna merahnya dari bumbu, bukan pewarna. Dijual mentah maupun siap makan."
keripik-melinjo,Keripik Melinjo Sadomas,kuliner,GANTI: nama pemilik,GANTI: tahun berdiri,GANTI: jumlah pekerja,GANTI_NOMOR_WA,GANTI: blok / RT / RW,,0,"GANTI: contoh Setiap hari, 08.00-17.00 WIB","GANTI: contoh Ambil di tempat, kirim dalam kota",,Emping melinjo tipis dari buah melinjo kebun sendiri. Tersedia mentah untuk digoreng di rumah dan matang siap santap dengan pilihan rasa asin atau pedas.
bibit-palawija,Kebun Bibit Palawija,pertanian,GANTI: nama pemilik,GANTI: tahun berdiri,GANTI: jumlah pekerja,GANTI_NOMOR_WA,GANTI: blok / RT / RW,,0,"GANTI: contoh Setiap hari, 08.00-17.00 WIB","GANTI: contoh Ambil di tempat, kirim dalam kota",,"Pembibitan palawija milik warga: jagung, kacang tanah, dan sayuran dataran menengah. Melayani pembelian per tray untuk petani maupun pekarangan rumah."
buah-musiman-sadomas,Buah Musiman Sadomas,pertanian,GANTI: nama pemilik,GANTI: tahun berdiri,GANTI: jumlah pekerja,GANTI_NOMOR_WA,GANTI: blok / RT / RW,,0,"GANTI: contoh Setiap hari, 08.00-17.00 WIB","GANTI: contoh Ambil di tempat, kirim dalam kota",,"Mangga, durian, dan picung hasil kebun warga. Karena mengikuti musim, ketersediaan berubah tiap bulan. Tanyakan dulu lewat WhatsApp sebelum memesan."
donat-dan-brownies,Donat & Brownies Sadomas,kuliner,GANTI: nama pemilik,GANTI: tahun berdiri,GANTI: jumlah pekerja,GANTI_NOMOR_WA,GANTI: blok / RT / RW,,0,"GANTI: contoh Setiap hari, 08.00-17.00 WIB","GANTI: contoh Ambil di tempat, kirim dalam kota",,"Donat empuk dan brownies kukus buatan rumahan, dibuat segar setiap hari. Cocok untuk oleh-oleh maupun camilan keluarga."
kerupuk-kulit-sapi-sadomas,Kerupuk Kulit Sapi Sadomas,kuliner,GANTI: nama pemilik,GANTI: tahun berdiri,GANTI: jumlah pekerja,GANTI_NOMOR_WA,GANTI: blok / RT / RW,,0,"GANTI: contoh Setiap hari, 08.00-17.00 WIB","GANTI: contoh Ambil di tempat, kirim dalam kota",,"Kerupuk dari kulit sapi pilihan, direbus lalu dijemur sebelum digoreng renyah. Diproduksi rumahan, dijual mentah maupun siap makan."
kebun-sayuran-sadomas,Kebun Sayuran Sadomas,pertanian,GANTI: nama pemilik,GANTI: tahun berdiri,GANTI: jumlah pekerja,GANTI_NOMOR_WA,GANTI: blok / RT / RW,,0,"GANTI: contoh Setiap hari, 08.00-17.00 WIB","GANTI: contoh Ambil di tempat, kirim dalam kota",,"Sayuran segar hasil kebun warga: kol, sawi, cabai, dan tomat, dipanen dari lahan dataran menengah di kaki Gunung Ciremai sesuai pesanan."
jajanan-pasar-bu-yeti,Jajanan Pasar Bu Yeti,kuliner,Ibu Yeti,Sekitar 1 tahun,1 orang (dikerjakan sendiri),6289627934242,"RT 04 / RW 02, Desa Sadomas",jajanan-bu-yeti-1.jpg,0,"Setiap hari kecuali libur, digoreng dini hari, tersedia di warung sekitar mulai pagi untuk sarapan","Dititipkan ke warung sekitar setiap pagi, atau ambil langsung di rumah (termasuk pemesan dari luar kota)",,"Jajanan pasar rumahan: molen, pastel, risol sayur, dan onde-onde, digoreng dan dijual lepas tanpa kemasan seperti gorengan pada umumnya. Adonan dibuat sendiri tiap malam sehabis Isya, digoreng dini hari, lalu dititipkan ke warung-warung sekitar untuk sarapan pagi. Sudah dikenal di daerah sekitar meski belum punya media sosial, dengan beberapa pemesan dari luar kota dan banyak pesanan dari Rajagaluh -- harga di sana biasanya sedikit lebih tinggi (sekitar Rp2.000) karena dititipkan lewat pengecer. Sebelumnya berjualan mochi, lalu beralih karena tepung ketan sering sulit didapat -- onde-onde karena itu tidak selalu dibuat setiap hari. Di bagian belakang rumah, Bu Yeti juga berjualan sayuran."
abu-meubel,ABU Meubel,kerajinan,GANTI: nama pemilik,GANTI: tahun berdiri,GANTI: jumlah pekerja,GANTI_NOMOR_WA,GANTI: blok / RT / RW,abu-meubel-3.jpg,0,"GANTI: contoh Setiap hari, 08.00-17.00 WIB","GANTI: contoh Kerja sesuai pesanan, antar ke lokasi",,"Usaha mebel dan kayu custom: bufet/backdrop TV, kitchen set, lemari, meja-kursi, sampai pintu kayu jati -- dikerjakan sesuai pesanan dan ukuran ruangan pemesan."
